2017-06-30 16:40:03,460 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2017-06-30 16:40:03,552 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5906249c{/help,null,AVAILABLE}
2017-06-30 16:40:03,652 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@5665c399{HTTP/1.1,[http/1.1]}{127.0.0.1:53414}
2017-06-30 16:40:03,652 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @380850ms
2017-06-30 20:25:53,135 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@5665c399{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-06-30 20:25:53,136 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-06-30 20:25:53,152 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@5906249c{/help,null,UNAVAILABLE}
2017-07-01 12:59:14,946 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-07-01 13:00:13,933 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @84737ms to org.eclipse.jetty.util.log.Slf4jLog
2017-07-01 13:00:14,166 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-01 13:00:14,187 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-01 13:00:14,187 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-01 13:00:14,188 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 660000ms
2017-07-01 13:00:14,221 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@4ebddebc{/help,null,AVAILABLE}
2017-07-01 13:00:14,252 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@34f7fd06{HTTP/1.1,[http/1.1]}{127.0.0.1:57062}
2017-07-01 13:00:14,253 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @85058ms
2017-07-01 14:03:13,771 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@34f7fd06{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-01 14:03:13,776 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-07-01 14:03:13,792 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@4ebddebc{/help,null,UNAVAILABLE}
2017-07-01 14:06:51,382 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-07-01 14:07:40,243 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @62742ms to org.eclipse.jetty.util.log.Slf4jLog
2017-07-01 14:07:40,434 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-01 14:07:40,458 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-01 14:07:40,459 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-01 14:07:40,460 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2017-07-01 14:07:40,496 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1fae4381{/help,null,AVAILABLE}
2017-07-01 14:07:40,516 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@22b50c4f{HTTP/1.1,[http/1.1]}{127.0.0.1:57303}
2017-07-01 14:07:40,516 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @63016ms
2017-07-02 12:29:27,412 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@22b50c4f{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-02 12:29:27,429 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-07-02 12:29:27,522 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1fae4381{/help,null,UNAVAILABLE}
2017-07-02 13:32:17,387 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-07-02 13:33:32,053 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @106762ms to org.eclipse.jetty.util.log.Slf4jLog
2017-07-02 13:33:33,008 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-02 13:33:33,090 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-02 13:33:33,090 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-02 13:33:33,092 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2017-07-02 13:33:33,179 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@73ba219b{/help,null,AVAILABLE}
2017-07-02 13:33:33,248 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@a8f957c{HTTP/1.1,[http/1.1]}{127.0.0.1:60263}
2017-07-02 13:33:33,249 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @107959ms
2017-07-02 18:16:25,583 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@a8f957c{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-02 18:16:25,584 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-07-02 18:16:25,600 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@73ba219b{/help,null,UNAVAILABLE}
